Brand,Description.,Category,Address,Contact Number,Website,Social Media
3Second,Brand fashion lokal yang terkenal dengan koleksi streetwear untuk anak muda.,"Pakaian,Aksesoris","Bandung, Jl. Gatot Subroto No.289",+62 229-1091-815,3second.co.id,@its3second
Erigo,Brand fashion lokal yang menawarkan koleksi pakaian dengan konsep casual dan street style untuk anak muda.,Pakaian,"Bandung,  Jl. Merdeka No.56",+62 811-9757-222,erigostore.co.id,@erigostore
Eiger,"Dikenal sebagai brand outdoor gear, Eiger menyediakan perlengkapan untuk aktivitas luar ruangan seperti mendaki dan camping.","Pakaian,Tas,Sepatu","Bandung, Jl. Cihampelas No.22",+62 811-2311-632,eigeradventure.com,@eigeradventure
Ventela,Brand sepatu lokal dengan gaya kasual yang terinspirasi dari sneaker klasik.,Sepatu,"Bandung, Jl. Kopo Katapang KM 12.8",+62 811-2406-969,ventela.com,@ventelashoes
Sagara Boots,Brand lokal yang fokus pada pembuatan sepatu boots dengan kualitas kulit premium dan pengerjaan yang detail.,Sepatu,"Gg. H. Satibi No.12, RT.07/RW.06, Jamika, Kec. Bojongloa Kaler, Kota Bandung, Jawa Barat 40231",+62 811-5464-124,sagarabootmaker.com,@sagarabootmaker
Sch,Brand lokal dengan konsep streetwear yang menawarkan berbagai pilihan pakaian kasual untuk pria dan wanita.,"Pakaian,Aksesoris","Jl. Buah Batu No.64, Burangrang, Kec. Lengkong, Kota Bandung, Jawa Barat 40262",+62 811-2073-197,schofficial.com,@schofficials
Greenlight,"Brand fashion lokal yang menyediakan pakaian dengan desain simpel namun modern, sering kali dikaitkan dengan gaya hidup anak muda.",Pakaian,Jln. Merdeka No. 56 Bandung,+62 821-2177-3254,greenlight.co.id,@itsgreenlight
Matoa,Brand jam tangan yang terkenal dengan desain kayu alami dan eco-friendly.,Jam Tangan,"Jl. Setrasari Kulon III, No. 10-12, Sukarasa, Sukasari, Bandung, Jawa Barat, Indonesia 40152",+62 811-2339-988,matoa.netlify.app,@matoa_id
Pot Meets Pop,"Brand denim lokal yang fokus pada pembuatan jeans dengan kualitas bahan premium, memadukan gaya klasik dan modern.","Jeans,Pakaian","Bandung, Jl. Sultan Agung no.9",+62 817-1717-7420,int.potmeetspopdenim.com,@potmeetspop
Prodigo,"Brand lokal yang fokus pada produk kulit premium, terutama sepatu formal dan kasual, dengan desain modern dan elegan.",Sepatu,"JI. Panyawangan Raya No.1A, Cipadung Kulon, Kec. Panyileukan, Kota Bandung, Jawa Barat 40613",+62 812-9000-7675,prodigo.co.id,@prodigofootwear
Brodo,"Brand sepatu lokal yang terkenal dengan desain elegan dan kokoh, cocok untuk berbagai kegiatan mulai dari kasual hingga formal.",Sepatu,"Jl. Lombok No.11, Merdeka, Kec. Sumur Bandung, Kota Bandung",+62 821-2989-2649,bro.do,@bro.do
